,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
109,3,18.9,-30.25,-96.9,639.915,,,finHit
110,4,-6.3,6.05,-13.2,735.451,,,finHit
111,26,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
112,1,6.3,6.05,-187.3,113.227,,,finHit
113,2,-6.3,6.05,-134.8,304.768,,,finHit
114,4,6.3,6.05,-13.2,711.502,,,finHit
115,27,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
116,1,6.3,6.05,-187.3,113.072,,,finHit
117,2,-6.3,6.05,-134.8,2.902,,,finHit
118,3,-6.3,6.05,-96.9,427.558,,,finHit
119,4,-6.3,6.05,-13.2,748.012,,,finHit
120,28,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
121,1,6.3,6.05,-187.3,10.959,,,finHit
122,3,-6.3,6.05,-96.9,439.272,,,finHit
123,4,-31.5,-6.05,-13.2,897.867,,,finHit
124,29,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
125,1,6.3,6.05,-187.3,114.903,,,finHit
126,2,6.3,-6.05,-134.8,294.511,,,finHit
127,3,6.3,-6.05,-96.9,438.159,,,finHit
128,4,6.3,-6.05,-13.2,759.916,,,finHit
129,30,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
130,1,6.3,6.05,-187.3,120.344,,,finHit
131,2,6.3,-6.05,-134.8,302.714,,,finHit
132,3,6.3,-6.05,-96.9,435.799,,,finHit
133,4,6.3,-6.05,-13.2,724.432,,,finHit
134,31,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
135,1,6.3,6.05,-187.3,114.907,,,finHit
136,2,-6.3,6.05,-134.8,29.324,,,finHit
137,3,-6.3,6.05,-96.9,430.234,,,finHit
138,4,6.3,6.05,-13.2,726.992,,,finHit
139,32,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
140,1,6.3,6.05,-187.3,119.137,,,finHit
141,2,6.3,-6.05,-134.8,29.147,,,finHit
142,3,6.3,-6.05,-96.9,425.286,,,finHit
143,4,18.9,-18.15,-13.2,85.387,,,finHit
