,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
468,9,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
469,1,6.3,6.05,-187.3,113.288,,,finHit
470,10,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
471,1,6.3,6.05,-187.3,116.544,,,finHit
472,11,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
473,1,6.3,6.05,-187.3,115.331,,,finHit
474,12,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
475,1,6.3,6.05,-187.3,114.193,,,finHit
476,13,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
477,1,6.3,6.05,-187.3,106.222,,,finHit
478,14,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
479,1,6.3,6.05,-187.3,122.009,,,finHit
480,15,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
481,1,6.3,6.05,-187.3,113.954,,,finHit
482,16,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
483,1,6.3,6.05,-187.3,110.955,,,finHit
484,17,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
485,1,6.3,6.05,-187.3,111.426,,,finHit
486,18,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
487,1,6.3,6.05,-187.3,102.574,,,finHit
488,19,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
489,1,6.3,6.05,-187.3,114.409,,,finHit
490,20,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
491,1,6.3,6.05,-187.3,102.847,,,finHit
492,21,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
493,1,6.3,6.05,-187.3,108.357,,,finHit
494,22,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
495,1,6.3,6.05,-187.3,109.321,,,finHit
496,23,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
497,1,6.3,6.05,-187.3,103.344,,,finHit
498,24,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
499,1,6.3,6.05,-187.3,11.503,,,finHit
500,25,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
501,1,6.3,6.05,-187.3,121.377,,,finHit
502,26,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
503,1,6.3,6.05,-187.3,115.683,,,finHit
504,27,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
505,1,6.3,6.05,-187.3,113.161,,,finHit
506,28,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
507,1,6.3,6.05,-187.3,114.373,,,finHit
508,29,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
509,1,6.3,6.05,-187.3,122.381,,,finHit
510,30,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
511,1,6.3,6.05,-187.3,117.797,,,finHit
512,31,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
513,1,6.3,6.05,-187.3,11.046,,,finHit
514,32,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
515,1,6.3,6.05,-187.3,10.946,,,finHit
516,33,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
517,1,6.3,6.05,-187.3,116.869,,,finHit
518,34,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
519,1,6.3,6.05,-187.3,108.213,,,finHit
520,35,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
521,1,6.3,6.05,-187.3,113.385,,,finHit
522,36,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
523,1,6.3,6.05,-187.3,116.386,,,finHit
524,37,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
525,1,6.3,6.05,-187.3,10.623,,,finHit
526,2,56.7,6.05,-134.8,715.461,,,finHit
527,38,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
528,1,6.3,6.05,-187.3,11.276,,,finHit
529,39,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
530,1,6.3,6.05,-187.3,109.191,,,finHit
531,40,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
532,1,6.3,6.05,-187.3,112.971,,,finHit
533,41,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
534,1,6.3,6.05,-187.3,104.253,,,finHit
535,42,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
536,1,6.3,6.05,-187.3,104.615,,,finHit
537,43,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
538,1,6.3,6.05,-187.3,114.397,,,finHit
539,44,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
540,1,6.3,6.05,-187.3,111.971,,,finHit
541,45,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
542,1,6.3,6.05,-187.3,115.004,,,finHit
543,2,6.3,-30.25,-134.8,457.958,,,finHit
544,46,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
545,1,6.3,6.05,-187.3,108.219,,,finHit
546,47,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
547,1,6.3,6.05,-187.3,109.704,,,finHit
548,48,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
549,1,6.3,6.05,-187.3,124.846,,,finHit
550,49,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
551,1,6.3,6.05,-187.3,114.076,,,finHit
552,50,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
553,1,6.3,6.05,-187.3,114.953,,,finHit
554,51,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
555,1,6.3,6.05,-187.3,106.837,,,finHit
556,52,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
557,1,6.3,6.05,-187.3,107.081,,,finHit
558,53,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
559,1,6.3,6.05,-187.3,11.451,,,finHit
560,54,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
561,1,6.3,6.05,-187.3,11.366,,,finHit
562,2,-18.9,-18.15,-134.8,417.796,,,finHit
563,55,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
564,1,6.3,6.05,-187.3,116.826,,,finHit
565,56,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
566,1,6.3,6.05,-187.3,109.579,,,finHit
567,2,44.1,-30.25,-134.8,66.845,,,finHit
568,57,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
569,1,6.3,6.05,-187.3,115.869,,,finHit
570,58,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
571,1,6.3,6.05,-187.3,119.365,,,finHit
572,59,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
573,1,6.3,6.05,-187.3,117.333,,,finHit
574,60,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
575,1,6.3,6.05,-187.3,117.024,,,finHit
576,61,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
577,1,6.3,6.05,-187.3,120.772,,,finHit
578,62,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
579,1,6.3,6.05,-187.3,119.028,,,finHit
580,2,-6.3,-30.25,-134.8,440.428,,,finHit
581,63,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
582,1,6.3,6.05,-187.3,11.902,,,finHit
583,64,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
584,1,6.3,6.05,-187.3,121.326,,,finHit
585,65,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
586,1,6.3,6.05,-187.3,117.806,,,finHit
587,66,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
588,1,6.3,6.05,-187.3,12.071,,,finHit
589,67,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
590,1,6.3,6.05,-187.3,116.151,,,finHit
591,68,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
592,1,6.3,6.05,-187.3,113.056,,,finHit
593,69,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
594,1,6.3,6.05,-187.3,109.085,,,finHit
595,70,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
596,1,6.3,6.05,-187.3,117.212,,,finHit
597,71,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
598,1,6.3,6.05,-187.3,110.294,,,finHit
599,72,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
600,1,6.3,6.05,-187.3,110.238,,,finHit
601,73,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
602,1,6.3,6.05,-187.3,119.464,,,finHit
603,74,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
604,1,6.3,6.05,-187.3,109.133,,,finHit
605,75,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
606,1,6.3,6.05,-187.3,112.473,,,finHit
607,76,10.0,1.0,1.0,-220.0,0.0,0.0,2.0
608,1,6.3,6.05,-187.3,112.362,,,finHit
609,2,-18.9,-6.05,-134.8,410.042,,,finHit
610,77,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
611,1,6.3,6.05,-187.3,108.369,,,finHit
612,78,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
613,1,6.3,6.05,-187.3,114.344,,,finHit
614,79,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
615,1,6.3,6.05,-187.3,119.583,,,finHit
616,80,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
617,1,6.3,6.05,-187.3,112.975,,,finHit
618,81,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
619,1,6.3,6.05,-187.3,11.339,,,finHit
620,82,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
621,1,6.3,6.05,-187.3,116.581,,,finHit
622,83,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
623,1,6.3,6.05,-187.3,110.763,,,finHit
624,84,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
625,1,6.3,6.05,-187.3,113.284,,,finHit
626,85,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
627,1,6.3,6.05,-187.3,113.571,,,finHit
628,86,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
629,1,6.3,6.05,-187.3,109.146,,,finHit
630,87,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
631,1,-6.3,6.05,-187.3,110.097,,,finHit
632,88,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
633,1,6.3,6.05,-187.3,107.891,,,finHit
634,89,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
635,1,6.3,6.05,-187.3,116.033,,,finHit
636,90,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
637,1,6.3,6.05,-187.3,11.507,,,finHit
638,91,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
639,1,6.3,6.05,-187.3,112.658,,,finHit
640,1,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
641,1,6.3,6.05,-187.3,117.108,,,finHit
642,2,6.3,-6.05,-134.8,291.438,,,finHit
643,3,6.3,-6.05,-96.9,431.865,,,finHit
644,4,-6.3,-18.15,-13.2,778.629,,,finHit
645,2,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
646,1,6.3,6.05,-187.3,115.393,,,finHit
647,2,6.3,6.05,-134.8,307.452,,,finHit
648,3,6.3,6.05,-96.9,466.888,,,finHit
649,4,18.9,18.15,-13.2,846.909,,,finHit
650,3,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
651,1,6.3,6.05,-187.3,115.211,,,finHit
652,2,6.3,6.05,-134.8,308.279,,,finHit
653,3,6.3,6.05,-96.9,43.218,,,finHit
654,4,6.3,6.05,-13.2,715.662,,,finHit
655,4,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
656,1,6.3,6.05,-187.3,114.445,,,finHit
657,3,6.3,6.05,-96.9,450.663,,,finHit
658,3,6.3,-6.05,-96.9,456.509,,,finHit
659,5,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
660,1,6.3,6.05,-187.3,108.793,,,finHit
661,3,-6.3,-6.05,-96.9,442.586,,,finHit
662,4,-18.9,-18.15,-13.2,827.845,,,finHit
663,6,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
664,1,6.3,6.05,-187.3,113.429,,,finHit
665,2,6.3,6.05,-134.8,298.435,,,finHit
666,3,6.3,6.05,-96.9,437.279,,,finHit
667,4,6.3,18.15,-13.2,818.474,,,finHit
668,7,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
669,1,6.3,6.05,-187.3,111.318,,,finHit
670,3,-6.3,6.05,-96.9,41.825,,,finHit
671,4,-6.3,18.15,-13.2,779.938,,,finHit
672,8,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
673,1,6.3,6.05,-187.3,112.316,,,finHit
674,3,-6.3,6.05,-96.9,421.199,,,finHit
675,4,-6.3,6.05,-13.2,752.349,,,finHit
676,9,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
677,1,6.3,6.05,-187.3,110.053,,,finHit
678,2,-6.3,-6.05,-134.8,303.412,,,finHit
679,3,-6.3,-6.05,-96.9,452.568,,,finHit
680,4,6.3,-18.15,-13.2,781.133,,,finHit
681,4,6.3,-6.05,-13.2,765.619,,,finHit
682,10,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
683,1,6.3,6.05,-187.3,114.355,,,finHit
684,2,6.3,-6.05,-134.8,291.553,,,finHit
685,3,-6.3,-6.05,-96.9,433.201,,,finHit
686,4,-6.3,-6.05,-13.2,747.287,,,finHit
687,11,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
688,1,6.3,6.05,-187.3,112.282,,,finHit
689,2,-6.3,-6.05,-134.8,280.078,,,finHit
690,3,-6.3,-6.05,-96.9,449.208,,,finHit
691,4,-18.9,-6.05,-13.2,764.157,,,finHit
692,4,-6.3,-6.05,-13.2,733.518,,,finHit
693,12,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
694,1,6.3,6.05,-187.3,119.544,,,finHit
695,2,6.3,-6.05,-134.8,305.717,,,finHit
696,3,6.3,-6.05,-96.9,453.703,,,finHit
697,4,18.9,-18.15,-13.2,796.691,,,finHit
698,13,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
699,1,6.3,6.05,-187.3,113.648,,,finHit
700,3,-6.3,-6.05,-96.9,440.142,,,finHit
701,4,18.9,30.25,-13.2,895.521,,,finHit
702,14,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
703,1,6.3,6.05,-187.3,113.691,,,finHit
704,2,-6.3,6.05,-134.8,282.629,,,finHit
705,3,-6.3,6.05,-96.9,428.413,,,finHit
706,4,-6.3,6.05,-13.2,736.163,,,finHit
707,15,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
708,1,6.3,6.05,-187.3,107.909,,,finHit
709,2,-6.3,6.05,-134.8,297.426,,,finHit
710,3,-6.3,6.05,-96.9,438.708,,,finHit
711,16,133.0,1.0,1.0,-220.0,0.0,0.0,1.0
712,1,6.3,6.05,-187.3,117.185,,,finHit
713,17,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
714,1,6.3,6.05,-187.3,109.708,,,finHit
715,2,6.3,6.05,-134.8,312.523,,,finHit
716,3,6.3,-6.05,-96.9,438.547,,,finHit
717,4,-6.3,-6.05,-13.2,74.494,,,finHit
718,18,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
719,1,6.3,6.05,-187.3,111.687,,,finHit
720,4,-18.9,6.05,-13.2,771.869,,,finHit
721,19,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
722,1,6.3,6.05,-187.3,113.925,,,finHit
723,2,6.3,6.05,-134.8,301.168,,,finHit
724,3,6.3,6.05,-96.9,444.331,,,finHit
725,20,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
726,1,6.3,6.05,-187.3,112.777,,,finHit
727,2,6.3,-6.05,-134.8,288.414,,,finHit
728,3,6.3,6.05,-96.9,430.252,,,finHit
729,4,6.3,6.05,-13.2,743.417,,,finHit
730,21,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
731,1,6.3,6.05,-187.3,106.844,,,finHit
732,2,6.3,6.05,-134.8,292.502,,,finHit
733,4,6.3,-6.05,-13.2,701.777,,,finHit
734,22,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
735,1,6.3,6.05,-187.3,111.535,,,finHit
736,2,6.3,6.05,-134.8,300.185,,,finHit
737,3,6.3,6.05,-96.9,434.425,,,finHit
738,4,6.3,6.05,-13.2,697.895,,,finHit
739,23,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
740,1,6.3,6.05,-187.3,112.079,,,finHit
741,2,6.3,6.05,-134.8,292.973,,,finHit
742,4,-6.3,6.05,-13.2,756.704,,,finHit
743,24,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
744,1,6.3,6.05,-187.3,107.338,,,finHit
745,2,-6.3,-6.05,-134.8,303.644,,,finHit
746,3,-18.9,6.05,-96.9,490.319,,,finHit
747,25,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
748,1,6.3,6.05,-187.3,109.885,,,finHit
749,3,-6.3,6.05,-96.9,421.555,,,finHit
750,4,-6.3,6.05,-13.2,724.474,,,finHit
751,26,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
752,1,6.3,6.05,-187.3,108.459,,,finHit
753,2,6.3,6.05,-134.8,30.093,,,finHit
754,3,6.3,6.05,-96.9,429.374,,,finHit
755,27,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
756,1,6.3,6.05,-187.3,107.891,,,finHit
757,2,-6.3,-6.05,-134.8,304.817,,,finHit
758,3,-6.3,-6.05,-96.9,450.182,,,finHit
759,4,-18.9,-6.05,-13.2,768.877,,,finHit
760,28,133.0,1.0,1.0,-220.0,0.0,0.0,6.0
761,1,6.3,6.05,-187.3,115.256,,,finHit
762,3,6.3,6.05,-96.9,426.193,,,finHit
763,4,18.9,-18.15,-13.2,830.933,,,finHit
764,3,6.3,-6.05,-96.9,41.409,,,finHit
765,4,6.3,6.05,-13.2,712.024,,,finHit
766,4,-6.3,-6.05,-13.2,70.807,,,finHit
767,29,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
768,1,6.3,6.05,-187.3,106.115,,,finHit
769,2,-6.3,-6.05,-134.8,307.266,,,finHit
770,3,-6.3,-6.05,-96.9,457.358,,,finHit
771,4,-18.9,-18.15,-13.2,813.307,,,finHit
772,30,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
773,1,6.3,6.05,-187.3,10.818,,,finHit
774,2,6.3,6.05,-134.8,292.997,,,finHit
775,3,6.3,6.05,-96.9,420.207,,,finHit
776,4,-6.3,6.05,-13.2,754.364,,,finHit
777,31,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
778,1,6.3,6.05,-187.3,114.644,,,finHit
779,2,-6.3,6.05,-134.8,291.744,,,finHit
780,3,-6.3,6.05,-96.9,425.025,,,finHit
781,4,-6.3,6.05,-13.2,745.859,,,finHit
782,32,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
783,1,6.3,6.05,-187.3,109.604,,,finHit
784,2,-6.3,6.05,-134.8,292.888,,,finHit
785,3,-6.3,6.05,-96.9,449.359,,,finHit
786,4,-6.3,6.05,-13.2,752.736,,,finHit
787,33,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
788,1,6.3,6.05,-187.3,10.616,,,finHit
789,2,6.3,6.05,-134.8,314.948,,,finHit
790,3,6.3,6.05,-96.9,440.741,,,finHit
791,4,6.3,6.05,-13.2,749.778,,,finHit
792,34,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
793,1,6.3,6.05,-187.3,114.632,,,finHit
794,2,-6.3,6.05,-134.8,296.771,,,finHit
795,3,-6.3,6.05,-96.9,43.054,,,finHit
796,4,-31.5,6.05,-13.2,851.188,,,finHit
797,4,-18.9,6.05,-13.2,798.846,,,finHit
798,35,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
799,1,6.3,6.05,-187.3,122.598,,,finHit
800,2,6.3,6.05,-134.8,298.321,,,finHit
801,3,6.3,6.05,-96.9,424.976,,,finHit
802,4,-6.3,18.15,-13.2,792.408,,,finHit
803,36,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
804,1,6.3,6.05,-187.3,108.961,,,finHit
805,3,6.3,-6.05,-96.9,424.529,,,finHit
806,4,6.3,-6.05,-13.2,734.736,,,finHit
807,37,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
808,1,6.3,6.05,-187.3,116.994,,,finHit
809,2,6.3,6.05,-134.8,291.951,,,finHit
810,3,-6.3,6.05,-96.9,437.841,,,finHit
811,4,-18.9,18.15,-13.2,800.708,,,finHit
812,38,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
813,1,6.3,6.05,-187.3,118.627,,,finHit
814,2,-6.3,6.05,-134.8,293.997,,,finHit
815,3,-6.3,6.05,-96.9,448.756,,,finHit
816,4,-18.9,6.05,-13.2,793.482,,,finHit
817,39,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
818,1,6.3,6.05,-187.3,102.296,,,finHit
819,2,6.3,6.05,-134.8,292.316,,,finHit
820,3,6.3,6.05,-96.9,442.367,,,finHit
821,3,-6.3,6.05,-96.9,447.833,,,finHit
822,40,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
823,1,6.3,6.05,-187.3,114.732,,,finHit
824,2,6.3,6.05,-134.8,292.786,,,finHit
825,4,-6.3,6.05,-13.2,73.609,,,finHit
826,41,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
827,1,6.3,6.05,-187.3,110.093,,,finHit
828,2,6.3,-6.05,-134.8,288.324,,,finHit
829,3,6.3,6.05,-96.9,431.843,,,finHit
830,4,-6.3,18.15,-13.2,808.227,,,finHit
831,42,133.0,1.0,1.0,-220.0,0.0,0.0,6.0
832,1,6.3,6.05,-187.3,118.967,,,finHit
833,2,6.3,-6.05,-134.8,291.017,,,finHit
834,4,6.3,-6.05,-13.2,727.295,,,finHit
835,3,-6.3,6.05,-96.9,441.913,,,finHit
836,4,-18.9,-6.05,-13.2,836.244,,,finHit
837,4,-18.9,-18.15,-13.2,86.891,,,finHit
838,43,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
839,1,6.3,6.05,-187.3,114.247,,,finHit
840,2,6.3,6.05,-134.8,292.679,,,finHit
841,3,6.3,6.05,-96.9,424.289,,,finHit
842,4,-6.3,6.05,-13.2,728.953,,,finHit
843,44,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
844,1,6.3,6.05,-187.3,115.067,,,finHit
845,2,6.3,6.05,-134.8,285.008,,,finHit
846,3,6.3,6.05,-96.9,406.166,,,finHit
847,4,6.3,6.05,-13.2,713.041,,,finHit
848,45,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
849,1,6.3,6.05,-187.3,111.137,,,finHit
850,3,6.3,6.05,-96.9,448.441,,,finHit
851,4,31.5,6.05,-13.2,885.318,,,finHit
852,46,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
853,1,6.3,6.05,-187.3,107.098,,,finHit
854,2,6.3,6.05,-134.8,306.355,,,finHit
855,3,6.3,6.05,-96.9,453.957,,,finHit
856,4,18.9,18.15,-13.2,820.442,,,finHit
857,47,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
858,1,6.3,6.05,-187.3,115.924,,,finHit
859,2,-6.3,-6.05,-134.8,291.476,,,finHit
860,3,-6.3,-6.05,-96.9,456.242,,,finHit
861,4,-18.9,-6.05,-13.2,805.074,,,finHit
862,48,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
863,1,6.3,6.05,-187.3,109.544,,,finHit
864,2,6.3,6.05,-134.8,308.657,,,finHit
865,3,6.3,6.05,-96.9,454.022,,,finHit
866,4,31.5,6.05,-13.2,851.469,,,finHit
867,4,6.3,6.05,-13.2,724.046,,,finHit
868,49,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
869,1,6.3,6.05,-187.3,118.345,,,finHit
870,2,6.3,6.05,-134.8,289.528,,,finHit
871,3,6.3,-6.05,-96.9,432.594,,,finHit
872,4,18.9,-6.05,-13.2,798.975,,,finHit
873,50,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
874,1,6.3,6.05,-187.3,111.037,,,finHit
875,2,-6.3,-6.05,-134.8,292.285,,,finHit
876,3,-6.3,-6.05,-96.9,411.647,,,finHit
877,4,-6.3,-6.05,-13.2,700.721,,,finHit
878,51,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
879,1,6.3,6.05,-187.3,112.636,,,finHit
880,2,6.3,6.05,-134.8,292.042,,,finHit
881,3,6.3,6.05,-96.9,426.328,,,finHit
882,4,6.3,6.05,-13.2,722.089,,,finHit
883,52,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
884,1,6.3,6.05,-187.3,111.407,,,finHit
885,3,-6.3,-6.05,-96.9,425.692,,,finHit
886,53,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
887,1,6.3,6.05,-187.3,116.411,,,finHit
888,3,6.3,6.05,-96.9,426.506,,,finHit
889,4,6.3,6.05,-13.2,700.991,,,finHit
890,54,133.0,1.0,1.0,-220.0,0.0,0.0,6.0
891,1,6.3,6.05,-187.3,122.621,,,finHit
892,3,-6.3,-6.05,-96.9,469.466,,,finHit
893,4,-18.9,-18.15,-13.2,858.936,,,finHit
894,3,6.3,-30.25,-96.9,595.765,,,finHit
895,3,-6.3,6.05,-96.9,420.364,,,finHit
896,4,-6.3,18.15,-13.2,77.905,,,finHit
897,55,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
898,1,6.3,6.05,-187.3,117.089,,,finHit
899,3,6.3,-6.05,-96.9,430.878,,,finHit
900,4,18.9,-30.25,-13.2,872.611,,,finHit
901,56,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
902,1,6.3,6.05,-187.3,110.626,,,finHit
903,4,-6.3,6.05,-13.2,710.092,,,finHit
904,57,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
905,1,6.3,6.05,-187.3,108.875,,,finHit
906,3,-6.3,6.05,-96.9,428.868,,,finHit
907,4,-6.3,-6.05,-13.2,740.741,,,finHit
908,58,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
909,1,6.3,6.05,-187.3,113.108,,,finHit
910,3,6.3,6.05,-96.9,441.489,,,finHit
911,4,6.3,-6.05,-13.2,755.869,,,finHit
912,59,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
913,1,6.3,6.05,-187.3,116.455,,,finHit
914,2,6.3,6.05,-134.8,292.008,,,finHit
915,3,6.3,6.05,-96.9,419.735,,,finHit
916,4,6.3,6.05,-13.2,71.146,,,finHit
917,4,18.9,-6.05,-13.2,833.394,,,finHit
918,60,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
919,1,6.3,6.05,-187.3,111.239,,,finHit
920,3,-6.3,6.05,-96.9,456.699,,,finHit
921,61,133.0,1.0,1.0,-220.0,0.0,0.0,3.0
922,1,6.3,6.05,-187.3,119.258,,,finHit
923,2,6.3,-6.05,-134.8,2.92,,,finHit
924,4,-6.3,6.05,-13.2,717.488,,,finHit
925,62,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
926,1,6.3,6.05,-187.3,115.362,,,finHit
927,4,6.3,-6.05,-13.2,712.287,,,finHit
928,63,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
929,1,6.3,6.05,-187.3,108.322,,,finHit
930,2,6.3,6.05,-134.8,313.096,,,finHit
931,3,6.3,6.05,-96.9,4.316,,,finHit
932,4,-6.3,-30.25,-13.2,860.167,,,finHit
933,64,133.0,1.0,1.0,-220.0,0.0,0.0,2.0
934,1,6.3,6.05,-187.3,11.425,,,finHit
935,4,-6.3,-18.15,-13.2,779.963,,,finHit
936,65,133.0,1.0,1.0,-220.0,0.0,0.0,5.0
937,1,6.3,6.05,-187.3,114.501,,,finHit
938,2,-6.3,-6.05,-134.8,303.788,,,finHit
939,3,-6.3,6.05,-96.9,467.987,,,finHit
940,4,-18.9,6.05,-13.2,782.337,,,finHit
941,4,6.3,-30.25,-13.2,864.924,,,finHit
942,66,133.0,1.0,1.0,-220.0,0.0,0.0,4.0
943,1,6.3,6.05,-187.3,119.922,,,finHit
944,2,6.3,6.05,-134.8,292.219,,,finHit
