1,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,11.563,,,
2,6.3,6.05,-134.8,304.832,,,
3,6.3,6.05,-96.9,443.849,,,
4,6.3,-6.05,-13.2,748.818,,,
2,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,115.764,,,
2,6.3,-6.05,-134.8,286.132,,,
3,6.3,-6.05,-96.9,435.004,,,
3,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,114.469,,,
2,6.3,6.05,-134.8,304.733,,,
3,-6.3,6.05,-96.9,442.275,,,
4,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,108.762,,,
2,6.3,6.05,-134.8,29.281,,,
3,6.3,6.05,-96.9,413.006,,,
4,18.9,6.05,-13.2,784.537,,,
5,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,113.447,,,
2,6.3,-6.05,-134.8,308.738,,,
3,-6.3,-6.05,-96.9,465.266,,,
4,-18.9,-30.25,-13.2,856.812,,,
6,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,116.422,,,
2,6.3,-6.05,-134.8,365.169,,,
3,18.9,-18.15,-96.9,548.959,,,
7,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,105.719,,,
2,-6.3,6.05,-134.8,32.947,,,
4,-6.3,42.35,-13.2,974.491,,,
8,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,117.681,,,
2,6.3,-6.05,-134.8,328.727,,,
3,6.3,-18.15,-96.9,515.002,,,
9,56,1,1,-220,0,0,3
1,6.3,6.05,-187.3,114.699,,,
3,-6.3,-6.05,-96.9,413.099,,,
4,6.3,-18.15,-13.2,779.984,,,
10,56,1,1,-220,0,0,2
1,6.3,6.05,-187.3,109.583,,,
4,-31.5,18.15,-13.2,86.464,,,
11,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,11.377,,,
2,6.3,6.05,-134.8,312.405,,,
3,6.3,6.05,-96.9,486.098,,,
4,6.3,42.35,-13.2,947.759,,,
12,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,112.971,,,
2,6.3,6.05,-134.8,308.354,,,
3,18.9,-6.05,-96.9,490.962,,,
4,31.5,-6.05,-13.2,902.976,,,
13,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,110.522,,,
2,6.3,-6.05,-134.8,30.618,,,
3,6.3,-6.05,-96.9,459.809,,,
4,6.3,-18.15,-13.2,781.063,,,
14,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,107.953,,,
2,6.3,-6.05,-134.8,295.253,,,
3,6.3,-6.05,-96.9,422.437,,,
4,6.3,-6.05,-13.2,741.087,,,
15,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,112.896,,,
2,-6.3,-6.05,-134.8,301.417,,,
3,-6.3,-6.05,-96.9,45.652,,,
4,-6.3,-18.15,-13.2,780.325,,,
16,56,1,1,-220,0,0,4
1,6.3,6.05,-187.3,119.424,,,
2,6.3,6.05,-134.8,349.697,,,
