,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
77,1,6.3,6.05,-187.3,109.685,,,
78,3,6.3,-6.05,-96.9,439.555,,,
79,4,18.9,6.05,-13.2,788.518,,,
80,19,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
81,1,6.3,6.05,-187.3,111.509,,,
82,3,6.3,-6.05,-96.9,432.973,,,
83,4,-18.9,-6.05,-13.2,782.501,,,
84,20,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
85,1,6.3,6.05,-187.3,115.461,,,
86,2,6.3,6.05,-134.8,309.364,,,
87,3,6.3,6.05,-96.9,463.278,,,
88,21,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
89,1,6.3,6.05,-187.3,110.939,,,
90,2,6.3,6.05,-134.8,306.987,,,
91,3,6.3,6.05,-96.9,469.251,,,
92,4,6.3,18.15,-13.2,780.437,,,
93,22,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
94,1,6.3,6.05,-187.3,11.441,,,
95,2,6.3,6.05,-134.8,307.778,,,
96,3,6.3,6.05,-96.9,466.665,,,
97,4,6.3,18.15,-13.2,793.721,,,
98,23,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
99,1,6.3,6.05,-187.3,112.825,,,
100,4,-6.3,6.05,-13.2,707.858,,,
101,24,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
102,1,6.3,6.05,-187.3,111.929,,,
103,2,6.3,-6.05,-134.8,29.964,,,
104,3,6.3,-6.05,-96.9,442.168,,,
105,4,6.3,-6.05,-13.2,741.019,,,
106,25,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
107,1,6.3,6.05,-187.3,115.364,,,
108,2,-6.3,-6.05,-134.8,315.209,,,
109,3,18.9,-30.25,-96.9,639.915,,,
110,4,-6.3,6.05,-13.2,735.451,,,
111,26,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
112,1,6.3,6.05,-187.3,113.227,,,
113,2,-6.3,6.05,-134.8,304.768,,,
114,4,6.3,6.05,-13.2,711.502,,,
115,27,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
116,1,6.3,6.05,-187.3,113.072,,,
117,2,-6.3,6.05,-134.8,2.902,,,
118,3,-6.3,6.05,-96.9,427.558,,,
119,4,-6.3,6.05,-13.2,748.012,,,
120,28,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
121,1,6.3,6.05,-187.3,10.959,,,
122,3,-6.3,6.05,-96.9,439.272,,,
123,4,-31.5,-6.05,-13.2,897.867,,,
124,29,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
125,1,6.3,6.05,-187.3,114.903,,,
126,2,6.3,-6.05,-134.8,294.511,,,
127,3,6.3,-6.05,-96.9,438.159,,,
128,4,6.3,-6.05,-13.2,759.916,,,
129,30,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
130,1,6.3,6.05,-187.3,120.344,,,
131,2,6.3,-6.05,-134.8,302.714,,,
132,3,6.3,-6.05,-96.9,435.799,,,
133,4,6.3,-6.05,-13.2,724.432,,,
134,31,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
135,1,6.3,6.05,-187.3,114.907,,,
136,2,-6.3,6.05,-134.8,29.324,,,
137,3,-6.3,6.05,-96.9,430.234,,,
138,4,6.3,6.05,-13.2,726.992,,,
139,32,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
140,1,6.3,6.05,-187.3,119.137,,,
141,2,6.3,-6.05,-134.8,29.147,,,
142,3,6.3,-6.05,-96.9,425.286,,,
143,4,18.9,-18.15,-13.2,85.387,,,
144,33,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
145,1,6.3,6.05,-187.3,104.608,,,
146,2,6.3,-6.05,-134.8,316.143,,,
147,3,6.3,-6.05,-96.9,471.533,,,
148,4,18.9,-6.05,-13.2,805.818,,,
149,34,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
150,1,6.3,6.05,-187.3,110.027,,,
151,3,-6.3,6.05,-96.9,431.688,,,
152,4,-6.3,-6.05,-13.2,692.496,,,
153,35,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
154,1,6.3,6.05,-187.3,109.434,,,
155,4,6.3,6.05,-13.2,747.983,,,
156,36,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
157,1,6.3,6.05,-187.3,114.037,,,
158,2,6.3,6.05,-134.8,322.229,,,
159,3,18.9,6.05,-96.9,491.226,,,
160,4,44.1,30.25,-13.2,981.204,,,
161,37,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
162,1,6.3,6.05,-187.3,122.191,,,
163,2,6.3,6.05,-134.8,295.958,,,
164,3,-6.3,-6.05,-96.9,428.503,,,
165,2,-31.5,-18.15,-134.8,135.383,,,
166,1,-44.1,-6.05,-187.3,159.856,,,
167,38,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
168,1,6.3,6.05,-187.3,11.494,,,
169,2,6.3,6.05,-134.8,290.993,,,
170,3,6.3,-6.05,-96.9,432.096,,,
171,39,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
172,1,6.3,6.05,-187.3,107.569,,,
173,2,-6.3,6.05,-134.8,304.565,,,
174,3,-6.3,6.05,-96.9,444.241,,,
175,4,-18.9,-6.05,-13.2,815.743,,,
176,40,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
177,1,6.3,6.05,-187.3,111.186,,,
178,2,6.3,-6.05,-134.8,313.762,,,
179,3,6.3,-6.05,-96.9,480.674,,,
180,4,31.5,-18.15,-13.2,876.395,,,
