Hit_Id;Event_Number;Ini_E[MeV];Ini_Theta;Ini_Phi;Number_of_hits;Plane_h;X_h[cm];Y_h[cm];Z_h[cm];Time_h[ns]
424;1068.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.056
425;1069.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.085
426;1070.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.212
427;1071.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.294
428;1072.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.238
429;1073.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;119.464
430;1074.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.133
431;1075.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.473
432;1076.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;112.362
433;1076.0;10.0;0.0;0.0;2.0;2.0;-18.9;-6.05;134.8;410.042
434;1077.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.369
435;1078.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.344
436;1079.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;119.583
437;1080.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.975
438;1081.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.339
439;1082.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.581
440;1083.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.763
441;1084.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.284
442;1085.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.571
443;1086.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.146
444;1087.0;10.0;0.0;0.0;1.0;1.0;-6.3;6.05;187.3;110.097
445;1088.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;107.891
446;1089.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.033
447;1090.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.507
448;1091.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.658
1147;2001.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;11.563
1148;2001.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;304.832
1149;2001.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;443.849
1150;2001.0;56.0;0.0;0.0;4.0;4.0;6.3;-6.05;13.2;748.818
1151;2002.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.764
1152;2002.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;286.132
1153;2002.0;56.0;0.0;0.0;3.0;3.0;6.3;-6.05;96.9;435.004
1154;2003.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;114.469
1155;2003.0;56.0;0.0;0.0;3.0;2.0;6.3;6.05;134.8;304.733
1156;2003.0;56.0;0.0;0.0;3.0;3.0;-6.3;6.05;96.9;442.275
1157;2004.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;108.762
1158;2004.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;29.281
1159;2004.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;413.006
1160;2004.0;56.0;0.0;0.0;4.0;4.0;18.9;6.05;13.2;784.537
1161;2005.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;113.447
1162;2005.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;308.738
1163;2005.0;56.0;0.0;0.0;4.0;3.0;-6.3;-6.05;96.9;465.266
1164;2005.0;56.0;0.0;0.0;4.0;4.0;-18.9;-30.25;13.2;856.812
1165;2006.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;116.422
1166;2006.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;365.169
1167;2006.0;56.0;0.0;0.0;3.0;3.0;18.9;-18.15;96.9;548.959
1168;2007.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;105.719
1169;2007.0;56.0;0.0;0.0;3.0;2.0;-6.3;6.05;134.8;32.947
1170;2007.0;56.0;0.0;0.0;3.0;4.0;-6.3;42.35;13.2;974.491
1171;2008.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;117.681
1172;2008.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;328.727
1173;2008.0;56.0;0.0;0.0;3.0;3.0;6.3;-18.15;96.9;515.002
1174;2009.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;114.699
1175;2009.0;56.0;0.0;0.0;3.0;3.0;-6.3;-6.05;96.9;413.099
1176;2009.0;56.0;0.0;0.0;3.0;4.0;6.3;-18.15;13.2;779.984
1177;2010.0;56.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;109.583
1178;2010.0;56.0;0.0;0.0;2.0;4.0;-31.5;18.15;13.2;86.464
1179;2011.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;11.377
1180;2011.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;312.405
1181;2011.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;486.098
1182;2011.0;56.0;0.0;0.0;4.0;4.0;6.3;42.35;13.2;947.759
1183;2012.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;112.971
1184;2012.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;308.354
1185;2012.0;56.0;0.0;0.0;4.0;3.0;18.9;-6.05;96.9;490.962
1186;2012.0;56.0;0.0;0.0;4.0;4.0;31.5;-6.05;13.2;902.976
1187;2013.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;110.522
1188;2013.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;30.618
1189;2013.0;56.0;0.0;0.0;4.0;3.0;6.3;-6.05;96.9;459.809
1190;2013.0;56.0;0.0;0.0;4.0;4.0;6.3;-18.15;13.2;781.063
1191;2014.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;107.953
1192;2014.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;295.253
1193;2014.0;56.0;0.0;0.0;4.0;3.0;6.3;-6.05;96.9;422.437
1194;2014.0;56.0;0.0;0.0;4.0;4.0;6.3;-6.05;13.2;741.087
1195;2015.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;112.896
1196;2015.0;56.0;0.0;0.0;4.0;2.0;-6.3;-6.05;134.8;301.417
1197;2015.0;56.0;0.0;0.0;4.0;3.0;-6.3;-6.05;96.9;45.652
1198;2015.0;56.0;0.0;0.0;4.0;4.0;-6.3;-18.15;13.2;780.325
1199;2016.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;119.424
1200;2016.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;349.697
1201;2016.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;471.301
1202;2016.0;56.0;0.0;0.0;4.0;4.0;31.5;-6.05;13.2;855.907
1203;2017.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.944
1204;2017.0;56.0;0.0;0.0;3.0;3.0;-6.3;-6.05;96.9;448.861
1205;2017.0;56.0;0.0;0.0;3.0;4.0;-18.9;-6.05;13.2;797.447
1206;2018.0;56.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;11.281
1207;2018.0;56.0;0.0;0.0;2.0;3.0;-6.3;-18.15;96.9;586.059
1208;2019.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;115.343
1209;2019.0;56.0;0.0;0.0;4.0;2.0;6.3;-6.05;134.8;333.176
1210;2019.0;56.0;0.0;0.0;4.0;3.0;18.9;6.05;96.9;516.373
1211;2019.0;56.0;0.0;0.0;4.0;4.0;31.5;6.05;13.2;901.976
1212;2020.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;112.653
1213;2020.0;56.0;0.0;0.0;4.0;2.0;-6.3;-6.05;134.8;296.431
1214;2020.0;56.0;0.0;0.0;4.0;3.0;-6.3;-6.05;96.9;48.183
1215;2020.0;56.0;0.0;0.0;4.0;4.0;-6.3;-18.15;13.2;824.828
1216;2021.0;56.0;0.0;0.0;5.0;1.0;6.3;6.05;187.3;105.724
1217;2021.0;56.0;0.0;0.0;5.0;2.0;6.3;-6.05;134.8;328.707
1218;2021.0;56.0;0.0;0.0;5.0;3.0;18.9;-6.05;96.9;541.356
